City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
new norfolk,-42.78,147.06,66.99,59,46,7.0,AU,1605495131
provideniya,64.38,-173.3,35.6,93,90,15.66,RU,1605495131
vaini,-21.2,-175.2,78.8,88,75,5.82,TO,1605495131
yellowknife,62.46,-114.35,3.2,91,90,8.05,CA,1605495131
mar del plata,-38.0,-57.56,55.0,87,20,3.36,AR,1605495047
kapaa,22.08,-159.32,73.99,94,90,6.93,US,1605495131
imeni poliny osipenko,52.42,136.49,21.36,90,22,7.36,RU,1605495131
ushuaia,-54.8,-68.3,44.6,52,20,33.33,AR,1605495131
avera,33.19,-82.53,66.2,77,90,12.75,US,1605495132
barrow,71.29,-156.79,17.6,78,75,16.11,US,1605494858
hithadhoo,-0.6,73.08,83.66,78,100,20.69,MV,1605495132
aklavik,68.22,-135.01,14.0,78,99,11.41,CA,1605495132
thompson,55.74,-97.86,-4.0,76,5,6.93,CA,1605495132
east london,-33.02,27.91,67.62,83,94,5.19,ZA,1605495132
katsuura,35.13,140.3,66.0,63,20,6.93,JP,1605495132
cafe,15.34,120.71,87.8,66,40,4.7,PH,1605495132
avarua,-21.21,-159.78,80.6,78,14,16.11,CK,1605495132
potosi,-19.58,-65.75,47.7,68,0,4.0,BO,1605495132
cidreira,-30.18,-50.21,70.97,93,100,2.48,BR,1605495133
georgetown,5.41,100.34,86.0,74,20,1.12,MY,1605495133
bengkulu,-3.8,102.27,87.17,60,58,2.82,ID,1605494867
kurilsk,45.23,147.88,46.06,80,100,19.44,RU,1605495133
bambous virieux,-20.34,57.76,73.0,60,40,8.05,MU,1605495133
bandarbeyla,9.49,50.81,73.94,75,72,17.11,SO,1605495133
alofi,-19.06,-169.92,84.2,66,75,12.75,NU,1605495133
valky,49.84,35.62,28.4,79,90,15.66,UA,1605495133
gizo,-8.1,156.84,84.94,73,100,10.47,SB,1605495134
cape town,-33.93,18.42,60.01,67,0,12.75,ZA,1605495058
punta arenas,-53.15,-70.92,46.4,61,0,26.4,CL,1605495134
mataura,-46.19,168.86,59.0,79,55,18.01,NZ,1605495134
atuona,-9.8,-139.03,77.99,76,53,14.72,PF,1605495134
yumen,40.28,97.2,37.98,62,95,16.84,CN,1605495134
bandar-e lengeh,26.56,54.88,71.6,37,0,6.93,IR,1605495134
batemans bay,-35.72,150.18,91.0,50,93,7.0,AU,1605495134
nikolskoye,59.7,30.79,32.0,95,90,11.18,RU,1605495135
chokurdakh,70.63,147.92,-22.25,89,64,2.98,RU,1605495136
hermanus,-34.42,19.23,54.0,84,58,1.01,ZA,1605495136
rikitea,-23.12,-134.97,76.28,77,31,6.67,PF,1605495136
opuwo,-18.06,13.84,69.46,48,66,2.98,NA,1605495136
busselton,-33.65,115.33,64.99,70,62,5.01,AU,1605495136
port alfred,-33.59,26.89,65.52,89,100,11.45,ZA,1605495136
necochea,-38.55,-58.74,46.0,88,0,5.01,AR,1605495136
lebu,-37.62,-73.65,51.28,83,0,19.26,CL,1605495136
pathein,16.78,94.73,81.0,74,0,9.44,MM,1605495136
kununurra,-15.77,128.73,96.8,44,40,8.05,AU,1605495137
mount gambier,-37.83,140.77,62.6,51,75,21.92,AU,1605495067
revda,56.8,59.93,5.0,92,0,6.71,RU,1605495137
puerto ayora,-0.74,-90.35,70.0,87,100,5.01,EC,1605495137
codrington,-38.27,141.97,61.79,58,0,24.67,AU,1605495137
kiunga,-6.12,141.29,92.03,53,100,3.91,PG,1605495137
teguise,29.06,-13.56,69.8,40,0,3.36,ES,1605495138
jamestown,42.1,-79.24,39.99,64,90,23.04,US,1605495138
marsh harbour,26.54,-77.06,77.77,77,1,11.12,BS,1605495138
saint-augustin,51.23,-58.65,30.43,90,0,5.01,CA,1605495138
ndola,-12.96,28.64,62.49,92,99,1.43,ZM,1605495138
candolim,15.52,73.76,80.6,74,40,8.05,IN,1605495138
oga,46.46,10.35,39.99,74,90,1.12,IT,1605495138
black river,18.03,-77.85,80.6,83,40,9.17,JM,1605495138
ereymentau,51.62,73.1,17.31,97,100,3.47,KZ,1605495139
stillwater,36.12,-97.06,46.4,39,1,7.2,US,1605495139
beruwala,6.48,79.98,76.3,94,100,12.15,LK,1605495139
comodoro rivadavia,-45.87,-67.5,66.2,39,0,10.29,AR,1605494924
diffa,13.32,12.61,70.59,40,0,10.13,NE,1605495139
vardo,70.37,31.11,44.17,88,86,24.7,NO,1605495139
eyl,7.98,49.82,74.7,67,83,11.14,SO,1605495139
albany,42.6,-73.97,52.0,65,100,7.23,US,1605495003
amahai,-3.33,128.92,85.66,69,40,5.61,ID,1605495140
wuwei,37.93,102.64,47.34,50,92,6.4,CN,1605495140
okato,-39.2,173.88,63.0,79,58,10.0,NZ,1605495140
tuktoyaktuk,69.45,-133.04,10.4,78,90,20.8,CA,1605495140
airai,-8.93,125.41,82.15,37,17,6.6,TL,1605495140
chimbote,-9.09,-78.58,62.29,90,98,7.4,PE,1605495140
argelia,2.26,-77.25,65.84,79,100,1.83,CO,1605495140
nanortalik,60.14,-45.24,26.64,84,0,7.05,GL,1605495140
naryan-mar,67.67,53.09,32.27,97,100,16.78,RU,1605495140
alberton,46.82,-64.07,37.4,74,100,10.29,CA,1605495141
ballina,-28.87,153.57,93.0,74,0,17.22,AU,1605495141
olafsvik,64.89,-23.71,36.97,79,100,16.78,IS,1605495141
faanui,-16.48,-151.75,80.4,76,99,8.63,PF,1605495141
erenhot,43.65,111.98,47.44,56,0,9.84,CN,1605494843
carnarvon,-24.87,113.63,86.0,17,0,12.75,AU,1605495141
egvekinot,66.32,-179.17,29.07,99,100,16.55,RU,1605495141
warah,27.45,67.8,63.61,23,0,8.01,PK,1605495141
amapa,1.0,-52.0,73.44,97,100,2.55,BR,1605495141
bredasdorp,-34.53,20.04,48.2,81,29,1.12,ZA,1605495141
dicabisagan,17.08,122.42,84.85,69,19,5.86,PH,1605495141
alamosa,37.47,-105.87,30.2,42,1,6.93,US,1605495142
cap malheureux,-19.98,57.61,73.0,53,0,7.0,MU,1605495142
kautokeino,69.01,23.04,37.49,89,100,21.09,NO,1605495142
stromness,58.97,-3.3,48.2,93,100,13.87,GB,1605495142
kaka,37.35,59.61,40.35,62,11,5.08,TM,1605495142
belaya gora,68.53,146.42,-15.5,89,99,5.12,RU,1605495142
ponta do sol,32.67,-17.1,69.8,94,75,17.22,PT,1605495142
hobart,-42.88,147.33,66.99,77,40,5.82,AU,1605495139
komarichi,52.42,34.79,28.35,98,99,9.98,RU,1605495143
tabuk,17.42,121.44,83.1,72,35,3.8,PH,1605495143
vila franca do campo,37.72,-25.43,62.6,82,75,10.29,PT,1605495143
upernavik,72.79,-56.15,19.4,86,100,15.03,GL,1605495143
lamu,-2.27,40.9,80.6,83,90,11.72,KE,1605495143
lagos,6.58,3.75,77.0,100,20,5.82,NG,1605495124
fairbanks,64.84,-147.72,1.0,84,75,3.36,US,1605495066
chuy,-33.7,-53.46,61.45,92,24,7.52,UY,1605495143
ipixuna,-1.76,-48.8,77.0,94,0,8.05,BR,1605495143
pacific grove,36.62,-121.92,55.99,54,1,3.36,US,1605495076
otofuke,42.99,143.2,57.2,50,20,9.17,JP,1605495144
sorong,-0.88,131.25,84.07,73,100,4.81,ID,1605495144
butaritari,3.07,172.79,81.77,72,81,11.65,KI,1605495144
tiksi,71.69,128.87,-8.34,90,46,7.2,RU,1605495144
mahebourg,-20.41,57.7,71.6,60,40,8.05,MU,1605495144
ribeira grande,38.52,-28.7,65.53,89,14,15.99,PT,1605495144
laguna,38.42,-121.42,59.0,67,1,4.07,US,1605495144
nizwa,22.93,57.53,65.91,73,0,0.63,OM,1605495000
puerto escondido,15.85,-97.07,82.4,69,40,3.36,MX,1605495144
zhigansk,66.77,123.37,-9.09,89,77,4.18,RU,1605495144
lata,40.16,-8.33,60.01,90,99,0.89,PT,1605495145
pevek,69.7,170.31,5.32,95,95,7.63,RU,1605495145
the pas,53.83,-101.25,14.0,72,90,8.05,CA,1605495145
